title;url;content
Duh! Manchester City Mau Tikung Target Transfer Liverpool Ini;https://www.liputan6.com/bola/read/6141691/duh-manchester-city-mau-tikung-target-transfer-liverpool-ini;Liputan6.com, Jakarta Upaya Liverpool untuk memboyong Marc Guehi di musim panas ini bakal semakin sulit. Bek Crystal Palace itu dilaporkan juga jadi incaran Manchester City di musim panas ini. Liverpool sudah lama meminati jasa Marc Guehi. Bek Timnas Inggris itu diminati Arne Slot untuk memperkuat lini pertahanan The Reds. Baca Juga Namun hingga saat ini Liverpool masih kesulitan untuk memboyong Guehi. Pasalnya Crystal Palace masih enggan untuk melepas bek andalan mereka itu. Advertisement Menukil laporan Daily Star, Liverpool punya pesaing baru untuk jasa Guehi. Manchester City dilaporkan akan bergerak untuk mengamankan jasa sang bek. Simak informasi selengkapnya di bawah ini.
Penalti Bruno Fernandes Melayang di Laga Fulham vs Man United, Amorim Tak Bisa Sembunyikan Kekecewaannya;https://www.liputan6.com/bola/read/6141637/penalti-bruno-fernandes-melayang-di-laga-fulham-vs-man-united-amorim-tak-bisa-sembunyikan-kekecewaannya;Liputan6.com, Jakarta Manchester United harus puas berbagi poin saat bertandang ke markas Fulham pada pekan kedua Premier League 2025/2026. Duel di Craven Cottage, Minggu (24/05/2025), berakhir dengan skor imbang 1-1. United sempat unggul lebih dulu lewat gol bunuh diri Rodrigo Muniz pada menit ke-58. Namun keunggulan itu sirna setelah Emile Smith Rowe menyamakan kedudukan pada menit ke-73. Baca Juga Meski terus menekan, Setan Merah gagal mencetak gol tambahan hingga peluit panjang berbunyi. Hasil ini membuat pasukan Ruben Amorim hanya pulang dengan satu angka. Advertisement Padahal, United memiliki peluang emas lebih awal untuk mengunci kemenangan. Salah satunya datang dari titik putih di babak pertama.
Sempat Meredup, MU Kejar Lagi Carlos Baleba?;https://www.liputan6.com/bola/read/6141632/sempat-meredup-mu-kejar-lagi-carlos-baleba;Liputan6.com, Jakarta Klub Premier League, Manchester United dilaporkan belum menyerah untuk mendatangkan jasa Carlos Baleba. Setan Merah dilaporkan akan mencoba lagi untuk merekrut sang gelandang dari Brighton. Sejak awal bulan kemarin, MU diketahui meminati jasa Baleba. Ruben Amorim menginginkan sang gelandang untuk meningkatkan daya gedor lini tengah Setan Merah. Baca Juga Namun keinginan MU untuk merekrut Baleba kandas. The Seagulls dilaporkan menolak untuk menjual sang gelandang di musim panas ini. Advertisement The Sun melaporkan bahwa MU tidak menyerah begitu saja untuk merekrut Baleba. Setan Merah dikabarkan akan mencoba untuk menawar lagi sang gelandang dalam waktu dekat ini. Simak informasi selengkapnya di bawah ini.
Ruben Amorim Buka Suara, Ini Alasan Kobbie Mainoo Belum Dapat Menit Bermain di Manchester United;https://www.liputan6.com/bola/read/6141477/ruben-amorim-buka-suara-ini-alasan-kobbie-mainoo-belum-dapat-menit-bermain-di-manchester-united;Liputan6.com, Jakarta Manchester United sudah melalui dua pertandingan perdana mereka di Premier League 2025/2026. Pada pekan pertama, Setan Merah harus menelan kekalahan tipis 0-1 dari Arsenal. Kemudian pada pekan kedua, United kembali tampil di Craven Cottage menghadapi Fulham. Hasilnya, laga berakhir imbang 1-1 dan mereka baru mengoleksi satu poin sejauh ini. Baca Juga Kondisi ini membuat start MU di bawah Ruben Amorim tak berjalan mulus. Dari dua laga, mereka baru mencetak satu gol dan kebobolan dua kali. Advertisement Di balik hasil yang belum maksimal itu, perhatian fans juga tertuju pada Kobbie Mainoo. Sang gelandang muda sama sekali belum mendapat menit bermain dari pelatih.
Kata-kata Ruben Amorim Usai Man United Gagal Menang Lawan Fulham;https://www.liputan6.com/bola/read/6141462/kata-kata-ruben-amorim-usai-man-united-gagal-menang-lawan-fulham;Liputan6.com, Jakarta Manchester United baru saja menjalani laga pekan kedua Premier League 2025/2026 di Craven Cottage menghadapi Fulham. Pertandingan tersebut berlangsung sulit bagi Setan Merah. Mereka sempat unggul lebih dahulu melalui bunuh diri Rodrigo Muniz pada menit ke-58. Namun, keunggulan itu tidak bertahan lama bagi tim asuhan Ruben Amorim. Baca Juga Fulham sukses menyamakan skor berkat gol cepat Emile Smith Rowe pada menit ke-73. Gol itu tercipta tak lama setelah ia masuk sebagai pemain pengganti. Advertisement Pada akhirnya, laga berakhir imbang 1-1 dan United kembali gagal meraih kemenangan perdananya musim ini. Amorim pun menegaskan perlunya perubahan sikap di dalam tim.
Bukan ke MU, Gianluigi Donnarumma Merapat ke Manchester City;https://www.liputan6.com/bola/read/6141455/bukan-ke-mu-gianluigi-donnarumma-merapat-ke-manchester-city;Liputan6.com, Jakarta Saga transfer Gianluigi Donnarumma sudah hampir berakhir. Sang kiper dikabarkan akan pindah ke Inggris untuk bergabung dengan Manchester City. Usai membawa PSG meraih treble winners di musim lalu, Donnarumma harus menelan kenyataan pahit. Ia tidak lagi dibutuhkan oleh Luis Enrique di skuad Les Parisien. Baca Juga Itulah mengapa Donnarumma sudah pamit untuk pergi dari PSG di musim panas ini. Ia dikabarkan mendapatkan ketertarikan dari Manchester City dan Manchester United di Inggris. Advertisement Fabrizio Romano melaporkan bahwa hilal klub baru Donnarumma sudah nampak. Ia dikabarkan akan bergabung dengan Manchester City dalam waktu dekat ini. Simak informasi selengkapnya di bawah ini.
Boniface Gagal, AC Milan Kejar Rasmus Hojlund Kembali?;https://www.liputan6.com/bola/read/6141401/boniface-gagal-ac-milan-kejar-rasmus-hojlund-kembali;Liputan6.com, Jakarta Klub Serie A, AC Milan mengubah manuver transfer mereka. Rossoneri dikabarkan kembali mengejar striker Manchester United, Rasmus Hojlund. Di bursa transfer ini, Milan memang sempat dikaitkan dengan Hojlund. Massimiliano Allegri ingin merekrut striker MU itu untuk memperkuat lini serang mereka. Baca Juga Namun pekan lalu, Milan memutuskan untuk mengubah rencana transfer mereka. I Rossoneri memilih untuk mencoba merekrut Victor Boniface dari Bayer Leverkusen. Advertisement Namun Corriere Dello Sport melaporkan bahwa Milan kini mengubah rencana mereka lagi. Mereka kembali mengejar Hojlund sebelum bursa transfer ditutup. Simak informasi selengkapnya di bawah ini.
Kenapa Benjamin Sesko Belum Kunjung Starter di MU?;https://www.liputan6.com/bola/read/6141371/kenapa-benjamin-sesko-belum-kunjung-starter-di-mu;Liputan6.com, Jakarta Manajer Manchester United, Ruben Amorim buka suara terkait keputusannya mencadangkan Benjamin Sesko saat menghadapi Fulham. Ia menyebut bahwa sang striker masih dalam proses adaptasi sehingga ia butuh waktu untuk adaptasi. Sesko merupakan rekrutan terbaru Manchester United di musim panas ini. Ia dibeli dengan harga yang mahal dari klub Jerman, RB Leipzig. Baca Juga Namun hingga saat ini, Sesko belum kunjung menjadi starter di skuad MU. Ia masuk sebagai pemain pengganti baik di laga melawan Arsenal atau di laga melawan Fulham di akhir pekan kemarin. Advertisement Ketika ditanya mengapa Sesko belum kunjung jadi starter, Amorim memberikan penjelasan. Ia menyebut bahwa ini merupakan proses adaptasi sang striker di timnya. Simak komentar lengkap Amorim selengkapnya di bawah ini.
Bruno Fernandes Gagal Penalti, Bek Fulham: Kapok!;https://www.liputan6.com/bola/read/6141355/bruno-fernandes-gagal-penalti-bek-fulham-kapok;"Liputan6.com, Jakarta Bek Fulham, Calvin Bassey mengomentari kegagalan penalti Bruno Fernandes ke gawang timnya baru-baru ini. Ia menilai kegagalan penalti itu merupakan karma bagi Setan Merah. Kemarin malam, MU bertandang ke markas Fulham untuk pertandingan kedua EPL 2025/2026. Di menit ke-40, terjadi insiden di mana Bassey dianggap menjatuhkan Mason Mount di kotak penalti sehingga VAR memberikan MU hadiah penalti. Baca Juga Namun dewi fortuna nampaknya menaungi kubu tuan rumah. Pasalnya Bruno Fernandes yang jadi algojo penalti ini gagal melakukan tugasnya dengan baik. Advertisement Bassey menilai bahwa kegagalan penalti Fernandes itu merupakan karma bagi SEtan Merah. ""Saya rasa itu (penalti Bruno gagal) merupakan sebuah bentuk keadilan,"" buka Bassey kepada Sky Sports. Simak komentar lengkap sang bek di bawah ini."
Altay Bayindir Jadi Satu-satunya Pencipta Peluang Besar Manchester United saat Ditahan Fulham;https://www.liputan6.com/bola/read/6141282/altay-bayindir-jadi-satu-satunya-pencipta-peluang-besar-manchester-united-saat-ditahan-fulham;Liputan6.com, Jakarta Manchester United kembali gagal meraih kemenangan di Premier League musim 2025/26. Setan Merah hanya bermain imbang 1-1 melawan Fulham di Craven Cottage pada Minggu (24/8/2025) malam WIB. Gol bunuh diri Rodrigo Muniz sempat membawa MU unggul lebih dulu. Namun, keunggulan itu hanya bertahan 15 menit sebelum Emile Smith Rowe menyamakan kedudukan. Baca Juga Kekecewaan jelas dirasakan pelatih Ruben Amorim yang berharap timnya bisa memetik kemenangan perdana. Namun, permainan MU kembali menunjukkan banyak kelemahan. Advertisement Yang lebih mengejutkan, justru kiper Altay Bayindir menjadi satu-satunya pemain MU yang menciptakan peluang besar. Kondisi ini memperlihatkan betapa tumpulnya lini serang mereka.
